,REF_DATE,count
1,1976-01,2
2,1976-02,2
3,1976-03,2
4,1976-04,2
5,1976-05,2
6,1976-06,2
7,1976-07,2
8,1976-08,2
9,1976-09,2
10,1976-10,2
11,1976-11,2
12,1976-12,2
13,1977-01,2
14,1977-02,2
15,1977-03,2
16,1977-04,2
17,1977-05,2
18,1977-06,2
19,1977-07,2
20,1977-08,2
508,1977-09,2
557,1977-10,2
558,1977-11,2
559,1977-12,2
560,1978-01,2
561,1978-02,2
562,1978-03,2
563,1978-04,2
564,1978-05,2
549,1978-06,2
550,1978-07,2
551,1978-08,2
552,1978-09,2
553,1978-10,2
554,1978-11,2
555,1978-12,2
556,1979-01,2
541,1979-02,2
542,1979-03,2
543,1979-04,2
544,1979-05,2
545,1979-06,2
546,1979-07,2
547,1979-08,2
548,1979-09,2
533,1979-10,2
534,1979-11,2
535,1979-12,2
536,1980-01,2
537,1980-02,2
538,1980-03,2
539,1980-04,2
540,1980-05,2
77,1980-06,2
78,1980-07,2
79,1980-08,2
80,1980-09,2
81,1980-10,2
82,1980-11,2
83,1980-12,2
84,1981-01,2
69,1981-02,2
70,1981-03,2
71,1981-04,2
72,1981-05,2
73,1981-06,2
74,1981-07,2
75,1981-08,2
76,1981-09,2
61,1981-10,2
62,1981-11,2
63,1981-12,2
64,1982-01,2
65,1982-02,2
66,1982-03,2
67,1982-04,2
68,1982-05,2
53,1982-06,2
54,1982-07,2
55,1982-08,2
56,1982-09,2
57,1982-10,2
58,1982-11,2
59,1982-12,2
60,1983-01,2
109,1983-02,2
110,1983-03,2
111,1983-04,2
112,1983-05,2
113,1983-06,2
114,1983-07,2
115,1983-08,2
116,1983-09,2
101,1983-10,2
102,1983-11,2
103,1983-12,2
104,1984-01,2
105,1984-02,2
106,1984-03,2
107,1984-04,2
108,1984-05,2
93,1984-06,2
94,1984-07,2
95,1984-08,2
96,1984-09,2
97,1984-10,2
98,1984-11,2
99,1984-12,2
100,1985-01,2
85,1985-02,2
86,1985-03,2
87,1985-04,2
88,1985-05,2
89,1985-06,2
90,1985-07,2
91,1985-08,2
92,1985-09,2
141,1985-10,2
142,1985-11,2
143,1985-12,2
144,1986-01,2
145,1986-02,2
146,1986-03,2
147,1986-04,2
148,1986-05,2
133,1986-06,2
134,1986-07,2
135,1986-08,2
136,1986-09,2
137,1986-10,2
138,1986-11,2
139,1986-12,2
140,1987-01,2
125,1987-02,2
126,1987-03,2
127,1987-04,2
128,1987-05,2
129,1987-06,2
130,1987-07,2
131,1987-08,2
132,1987-09,2
117,1987-10,2
118,1987-11,2
119,1987-12,2
120,1988-01,2
121,1988-02,2
122,1988-03,2
123,1988-04,2
124,1988-05,2
173,1988-06,2
174,1988-07,2
175,1988-08,2
176,1988-09,2
177,1988-10,2
178,1988-11,2
179,1988-12,2
180,1989-01,2
165,1989-02,2
166,1989-03,2
167,1989-04,2
168,1989-05,2
